"MOVIL_128", "24:da:9b:54:18:b9", "188535", "0.0,0.0", "n/d", ""
"MOVIL_128", "24:da:9b:54:18:b9", "192527", "-27.443064,-65.608106", "27° 26' 35.0" S, 65° 36' 29.2" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "233610", "-27.434661,-65.620239", "27° 26' 4.8" S, 65° 37' 12.9" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "177481", "-27.519047,-65.268397", "27° 31' 8.6" S, 65° 16' 6.2" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "233711", "-27.409748,-65.515835", "27° 24' 35.1" S, 65° 30' 57.0" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "232319", "-27.375526,-65.55601", "27° 22' 31.9" S, 65° 33' 21.6" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "180409", "-27.351163,-65.577333", "27° 21' 4.2" S, 65° 34' 38.4" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "163842", "-27.340639,-65.611398", "27° 20' 26.3" S, 65° 36' 41.0" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "196113", "-27.361426,-65.603592", "27° 21' 41.1" S, 65° 36' 12.9" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "193728", "-27.36242122,-65.59332217", "27° 21' 44.7" S, 65° 35' 36.0" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "232213", "-27.36315983,-65.60352045", "27° 21' 47.4" S, 65° 36' 12.7" W", ""
