"MOVIL_128", "24:da:9b:54:18:b9", "198408", "0.0,0.0", "n/d", ""
"MOVIL_128", "24:da:9b:54:18:b9", "198398", "-27.255514,-65.546453", "27° 15' 19.9" S, 65° 32' 47.2" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "167656", "-27.251864,-65.544889", "27° 15' 6.7" S, 65° 32' 41.6" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "167356", "-27.251654,-65.543955", "27° 15' 6.0" S, 65° 32' 38.2" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "194173", "-27.25421651,-65.55142033", "27° 15' 15.2" S, 65° 33' 5.1" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "181663", "-27.25189501,-65.55415559", "27° 15' 6.8" S, 65° 33' 15.0" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "186473", "-27.25272921,-65.55478294", "27° 15' 9.8" S, 65° 33' 17.2" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "179132", "-27.25525584,-65.55352549", "27° 15' 18.9" S, 65° 33' 12.7" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "182705", "-27.25629946,-65.55759487", "27° 15' 22.7" S, 65° 33' 27.3" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "189328", "-27.25260839,-65.5547614", "27° 15' 9.4" S, 65° 33' 17.1" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "172420", "-27.25275971,-65.55144564", "27° 15' 9.9" S, 65° 33' 5.2" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "180640", "-27.25588773,-65.54236715", "27° 15' 21.2" S, 65° 32' 32.5" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "172482", "-27.25652093,-65.54320245", "27° 15' 23.5" S, 65° 32' 35.5" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "172481", "-27.25649453,-65.54328042", "27° 15' 23.4" S, 65° 32' 35.8" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "185617", "-27.22160101,-65.5282593", "27° 13' 17.8" S, 65° 31' 41.7" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "171672", "-27.22161158,-65.52829343", "27° 13' 17.8" S, 65° 31' 41.9" W", ""
